rel_pkl,source_chunk_idx,target_side_x_m
ACCAD/Female1Walking_c3d/B23 - side step right.pkl,1,-0.144447
ACCAD/Female1Walking_c3d/B23 - side step right.pkl,2,-0.169744
ACCAD/Female1Walking_c3d/B23 - side step right.pkl,3,-0.195313
ACCAD/Female1Walking_c3d/B23 - side step right.pkl,22,-0.211253
ACCAD/Female1Walking_c3d/B23 - side step right.pkl,23,-0.183304
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,4,-0.088686
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,5,-0.106564
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,6,-0.123711
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,7,-0.139269
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,8,-0.151314
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,9,-0.159398
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,10,-0.162721
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,11,-0.162747
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,12,-0.158966
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,13,-0.152409
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,14,-0.143984
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,15,-0.132679
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,16,-0.119617
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,17,-0.106237
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,18,-0.093843
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,19,-0.08355
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,20,-0.076444
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,21,-0.073499
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,22,-0.075494
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,23,-0.080813
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,24,-0.089652
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,25,-0.100755
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,26,-0.112178
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,27,-0.124401
