skill,amass_sequence,babel_sid,label,reviewed_clip_filename,segment_start_s,segment_end_s,segment_start_ms,segment_end_ms,first_used_chunk_start_s,last_used_chunk_end_s,first_used_chunk_start_ms,last_used_chunk_end_ms,used_chunk_count,provenance
side_walk,ACCAD/Female1Walking_c3d/B23 - side step right.pkl,3936,step to the right,03936__side_walk__seg00__000.000_001.636__step_to_the_right.mp4,0.000000,1.636000,0,1636,0.041876,1.629818,42,1630,5,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,5749,side stepping,05749__side_step_extra__seg00__000.234_010.334__side_stepping.mp4,0.234000,10.334000,234,10334,0.167341,10.330634,167,10331,170,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,6766,side step to the left,06766__side_step_extra__seg01__003.922_006.604__side_step_to_the_left.mp4,3.922000,6.604000,3922,6604,4.630115,6.601632,4630,6602,9,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,6766,side step to the right,06766__side_step_extra__seg00__000.254_003.922__side_step_to_the_right.mp4,0.254000,3.922000,254,3922,0.126276,3.907747,126,3908,41,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_16_F_MoSh/Subject_16_F_21.pkl,905,walk right,00905__side_walk__seg01__011.486_012.814__walk_right.mp4,11.486000,12.814000,11486,12814,11.342826,12.009493,11343,12009,1,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,5809,side step to left,05809__side_step_extra__seg01__002.705_005.830__side_step_to_left.mp4,2.705000,5.830000,2705,5830,3.486611,5.077440,3487,5077,17,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,5809,side step to right,05809__side_step_extra__seg00__000.000_002.705__side_step_to_right.mp4,0.000000,2.705000,0,2705,0.000000,2.683020,0,2683,49,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,5809,side step to right,05809__side_step_extra__seg02__005.830_008.001__side_step_to_right.mp4,5.830000,8.001000,5830,8001,5.670994,7.975948,5671,7976,25,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_31_F_MoSh/Subject_31_F_5.pkl,11831,side step to the left,11831__side_step_extra__seg00__000.486_002.432__side_step_to_the_left.mp4,0.486000,2.432000,486,2432,0.335802,2.429630,336,2430,16,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_31_F_MoSh/Subject_31_F_5.pkl,11831,side step to the right,11831__side_step_extra__seg01__002.432_004.849__side_step_to_the_right.mp4,2.432000,4.849000,2432,4849,2.602469,4.780247,2602,4780,30,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_32_F_MoSh/Subject_32_F_5.pkl,6677,step right,06677__side_walk__seg00__002.461_006.940__step_right.mp4,2.461000,6.940000,2461,6940,2.306944,6.664722,2307,6665,64,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_34_F_MoSh/Subject_34_F_10.pkl,2181,side step to the left,02181__side_step_extra__seg01__003.052_006.941__side_step_to_the_left.mp4,3.052000,6.941000,3052,6941,3.524630,5.408133,3525,5408,8,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_34_F_MoSh/Subject_34_F_10.pkl,2181,side step to the right,02181__side_step_extra__seg00__000.332_003.052__side_step_to_the_right.mp4,0.332000,3.052000,332,3052,0.629398,2.806620,629,2807,31,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_34_F_MoSh/Subject_34_F_10.pkl,2181,side step to the right,02181__side_step_extra__seg02__006.941_008.979__side_step_to_the_right.mp4,6.941000,8.979000,6941,8979,7.049259,8.513164,7049,8513,12,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_35_F_MoSh/Subject_35_F_20.pkl,4619,step left,04619__side_walk__seg00__000.539_003.110__step_left.mp4,0.539000,3.110000,539,3110,2.215585,3.091269,2216,3091,6,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_35_F_MoSh/Subject_35_F_20.pkl,4619,step left,04619__side_walk__seg02__007.610_010.546__step_left.mp4,7.610000,10.546000,7610,10546,8.235286,10.406878,8235,10407,9,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_35_F_MoSh/Subject_35_F_20.pkl,4619,step right,04619__side_walk__seg01__003.110_007.610__step_right.mp4,3.110000,7.610000,3110,7610,3.218868,6.895386,3219,6895,43,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_46_F_MoSh/Subject_46_F_14.pkl,6608,sidestep on left,06608__side_step_extra__seg00__000.106_002.523__sidestep_on_left.mp4,0.106000,2.523000,106,2523,0.000000,2.517500,0,2518,34,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_46_F_MoSh/Subject_46_F_14.pkl,6608,sidestep on left,06608__side_step_extra__seg02__005.654_007.557__sidestep_on_left.mp4,5.654000,7.557000,5654,7557,5.678693,7.018390,5679,7018,14,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_46_F_MoSh/Subject_46_F_14.pkl,6608,sidestep on right,06608__side_step_extra__seg01__002.502_005.690__sidestep_on_right.mp4,2.502000,5.690000,2502,5690,2.355606,5.672330,2356,5672,25,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_50_F_MoSh/Subject_50_F_4.pkl,8309,step to the left,08309__side_walk__seg00__002.190_003.981__step_to_the_left.mp4,2.190000,3.981000,2190,3981,2.506785,3.173451,2507,3173,1,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_50_F_MoSh/Subject_50_F_4.pkl,8309,step to the right,08309__side_walk__seg01__003.981_010.565__step_to_the_right.mp4,3.981000,10.565000,3981,10565,4.094415,10.025329,4094,10025,89,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_52_F_MoSh/Subject_52_F_8.pkl,2697,step left,02697__side_walk__seg01__003.669_008.127__step_left.mp4,3.669000,8.127000,3669,8127,3.512623,7.273743,3513,7274,30,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_52_F_MoSh/Subject_52_F_8.pkl,2697,step right,02697__side_walk__seg00__000.627_003.252__step_right.mp4,0.627000,3.252000,627,3252,0.501803,2.841148,502,2841,18,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_52_F_MoSh/Subject_52_F_8.pkl,2697,step right,02697__side_walk__seg02__008.127_008.940__step_right.mp4,8.127000,8.940000,8127,8940,7.987036,8.695519,7987,8696,2,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_57_F_MoSh/Subject_57_F_5.pkl,12946,sidestep to left,12946__side_step_extra__seg01__003.919_008.544__sidestep_to_left.mp4,3.919000,8.544000,3919,8544,4.400189,8.503194,4400,8503,9,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_57_F_MoSh/Subject_57_F_5.pkl,12946,sidestep to right,12946__side_step_extra__seg00__000.440_003.919__sidestep_to_right.mp4,0.440000,3.919000,440,3919,0.293346,3.851566,293,3852,46,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_57_F_MoSh/Subject_57_F_5.pkl,12946,sidestep to right,12946__side_step_extra__seg02__008.544_010.711__sidestep_to_right.mp4,8.544000,10.711000,8544,10711,8.548939,10.682336,8549,10682,31,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_68_F_MoSh/Subject_68_F_3.pkl,165,side step left,00165__side_step_extra__seg00__000.000_002.023__side_step_left.mp4,0.000000,2.023000,0,2023,0.335439,2.008421,335,2008,9,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_68_F_MoSh/Subject_68_F_3.pkl,165,side step left,00165__side_step_extra__seg02__006.002_009.127__side_step_left.mp4,6.002000,9.127000,6002,9127,6.499123,7.794737,6499,7795,5,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_76_F_MoSh/Subject_76_F_4.pkl,592,step left,00592__side_walk__seg01__004.462_009.877__step_left.mp4,4.462000,9.877000,4462,9877,5.151974,9.839693,5152,9840,34,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_76_F_MoSh/Subject_76_F_4.pkl,592,step right,00592__side_walk__seg00__000.336_004.106__step_right.mp4,0.336000,4.106000,336,4106,0.712061,4.101316,712,4101,24,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_76_F_MoSh/Subject_76_F_4.pkl,592,step right,00592__side_walk__seg02__010.440_012.502__step_right.mp4,10.440000,12.502000,10440,12502,11.099781,11.766447,11100,11766,1,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_85_F_MoSh/Subject_85_F_17.pkl,6359,side stepping,06359__side_step_extra__seg00__002.570_014.549__side_stepping.mp4,2.570000,14.549000,2570,14549,2.679251,14.523418,2679,14523,89,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_87_F_MoSh/Subject_87_F_14.pkl,3922,sidesteps right,03922__side_step_extra__seg00__000.460_002.640__sidesteps_right.mp4,0.460000,2.640000,460,2640,0.293354,2.510608,293,2511,17,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_89_F_MoSh/Subject_89_F_1.pkl,10919,sidestep left,10919__side_step_extra__seg00__000.794_004.836__sidestep_left.mp4,0.794000,4.836000,794,4836,0.669020,4.429902,669,4430,45,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_89_F_MoSh/Subject_89_F_1.pkl,10919,sidestep left,10919__side_step_extra__seg02__013.336_019.523__sidestep_left.mp4,13.336000,19.523000,13336,19523,13.254951,19.273775,13255,19274,65,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_89_F_MoSh/Subject_89_F_1.pkl,10919,sidestep right,10919__side_step_extra__seg01__004.836_013.336__sidestep_right.mp4,4.836000,13.336000,4836,13336,5.393971,11.998186,5394,11998,52,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_9_F_MoSh/Subject_9_F_11.pkl,8887,sidestep on left,08887__side_step_extra__seg01__003.815_009.794__sidestep_on_left.mp4,3.815000,9.794000,3815,9794,3.765686,9.787996,3766,9788,92,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BMLmovi/Subject_9_F_MoSh/Subject_9_F_11.pkl,8887,sidestep on right,08887__side_step_extra__seg00__000.502_003.377__sidestep_on_right.mp4,0.502000,3.377000,502,3377,0.376569,1.670850,377,1671,16,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,BioMotionLab_NTroje/rub074/0031_rom.pkl,10771,side step left,10771__side_step_extra__seg00__090.639_094.639__side_step_left.mp4,90.639000,94.639000,90639,94639,90.560986,94.603373,90561,94603,33,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,CMU/106/106_33.pkl,2516,step left,02516__side_walk__seg01__009.002_016.086__step_left.mp4,9.002000,16.086000,9002,16086,9.213629,16.078555,9214,16079,54,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,CMU/106/106_33.pkl,2516,step right,02516__side_walk__seg00__001.419_008.606__step_right.mp4,1.419000,8.606000,1419,8606,1.256404,8.540131,1256,8540,58,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,CMU/113/113_18.pkl,11492,sidestep left,11492__side_step_extra__seg01__008.980_017.320__sidestep_left.mp4,8.980000,17.320000,8980,17320,9.171001,16.549173,9171,16549,31,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,CMU/35/35_27.pkl,5484,side steps,05484__side_walk__seg01__007.419_010.232__side_steps.mp4,7.419000,10.232000,7419,10232,7.376972,9.960817,7377,9961,32,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,CMU/35/35_27.pkl,5484,side steps,05484__side_walk__seg02__013.127_014.798__side_steps.mp4,13.127000,14.798000,13127,14798,13.128509,14.170276,13129,14170,10,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,CMU/35/35_27.pkl,5484,side steps,05484__side_walk__seg03__015.752_024.785__side_steps.mp4,15.752000,24.785000,15752,24785,18.463268,24.506372,18463,24506,48,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,CMU/35/35_27.pkl,5484,side steps,05484__side_walk__seg04__028.191_030.160__side_steps.mp4,28.191000,30.160000,28191,30160,28.382586,30.049520,28383,30050,19,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,CMU/35/35_27.pkl,5484,side steps,05484__side_walk__seg06__036.698_041.356__side_steps.mp4,36.698000,41.356000,36698,41356,37.176603,41.094139,37177,41094,14,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
side_walk,CMU/35/35_27.pkl,5484,side steps,05484__side_walk__seg08__047.406_053.426__side_steps.mp4,47.406000,53.426000,47406,53426,47.262632,53.389092,47263,53389,70,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
