skill,amass_sequence,babel_sid,label,reviewed_clip_filename,segment_start_s,segment_end_s,segment_start_ms,segment_end_ms,first_used_chunk_start_s,last_used_chunk_end_s,first_used_chunk_start_ms,last_used_chunk_end_ms,used_chunk_count,provenance
sit,BMLmovi/Subject_11_F_MoSh/Subject_11_F_13.pkl,12821,sit down,12821__seg00__000.000_008.382__sit_down.mp4,0.000000,8.382000,0,8382,0.000000,8.364093,0,8364,134,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
sit,BMLmovi/Subject_13_F_MoSh/Subject_13_F_12.pkl,3494,sit down,03494__seg00__000.000_001.889__sit_down.mp4,0.000000,1.889000,0,1889,0.376842,1.880936,377,1881,9,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
sit,BMLmovi/Subject_13_F_MoSh/Subject_13_F_12.pkl,3494,sit down,03494__seg01__004.684_007.457__sit_down.mp4,4.684000,7.457000,4684,7457,4.940819,7.366082,4941,7366,11,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
sit,BMLmovi/Subject_15_F_MoSh/Subject_15_F_1.pkl,1600,sit down,01600__seg00__002.292_003.598__sit_down.mp4,2.292000,3.598000,2292,3598,2.304271,3.557479,2304,3557,15,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
sit,BMLmovi/Subject_20_F_MoSh/Subject_20_F_18.pkl,4710,sit down,04710__seg00__001.955_003.277__sit_down.mp4,1.955000,3.277000,1955,3277,2.144710,3.273961,2145,3274,12,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
sit,BMLmovi/Subject_22_F_MoSh/Subject_22_F_20.pkl,4600,sit down,04600__seg00__000.559_003.346__sit_down.mp4,0.559000,3.346000,559,3346,0.585764,3.344444,586,3344,24,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
sit,BMLmovi/Subject_27_F_MoSh/Subject_27_F_3.pkl,13088,sit down,13088__seg00__000.298_003.892__sit_down.mp4,0.298000,3.892000,298,3892,0.669841,3.890278,670,3890,53,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
sit,BMLmovi/Subject_27_F_MoSh/Subject_27_F_7.pkl,11770,sit down,11770__seg00__001.727_002.806__sit_down.mp4,1.727000,2.806000,1727,2806,1.767500,2.770833,1768,2771,9,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
sit,BMLmovi/Subject_28_F_MoSh/Subject_28_F_20.pkl,4009,sit down,04009__seg00__001.955_003.375__sit_down.mp4,1.955000,3.375000,1955,3375,2.518987,3.353586,2519,3354,5,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
sit,BMLmovi/Subject_29_F_MoSh/Subject_29_F_12.pkl,7709,sit down,07709__seg00__001.041_003.404__sit_down.mp4,1.041000,3.404000,1041,3404,1.048925,3.058215,1049,3058,23,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
sit,BMLmovi/Subject_36_F_MoSh/Subject_36_F_16.pkl,1702,sit down,01702__seg00__001.069_004.029__sit_down.mp4,1.069000,4.029000,1069,4029,1.091303,3.814655,1091,3815,39,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
sit,BMLmovi/Subject_37_F_MoSh/Subject_37_F_1.pkl,9875,sit down,09875__seg00__000.590_003.910__sit_down.mp4,0.590000,3.910000,590,3910,0.629121,3.896154,629,3896,30,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
sit,BMLmovi/Subject_45_F_MoSh/Subject_45_F_10.pkl,1976,sit down,01976__seg00__000.534_003.061__sit_down.mp4,0.534000,3.061000,534,3061,0.544762,3.055238,545,3055,21,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
sit,BMLmovi/Subject_4_F_MoSh/Subject_4_F_3.pkl,9943,sit down,09943__seg00__000.090_003.567__sit_down.mp4,0.090000,3.567000,90,3567,0.126077,3.566436,126,3566,30,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
sit,BMLmovi/Subject_50_F_MoSh/Subject_50_F_8.pkl,11583,sit down,11583__seg00__002.565_004.690__sit_down.mp4,2.565000,4.690000,2565,4690,2.597232,4.688187,2597,4688,31,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
sit,BMLmovi/Subject_53_F_MoSh/Subject_53_F_12.pkl,1544,sit down,01544__seg00__000.829_003.841__sit_down.mp4,0.829000,3.841000,829,3841,0.840873,3.441548,841,3442,21,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
sit,BMLmovi/Subject_53_F_MoSh/Subject_53_F_17.pkl,2577,sit down,02577__seg00__001.684_003.539__sit_down.mp4,1.684000,3.539000,1684,3539,2.644091,3.520606,2644,3521,6,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
sit,BMLmovi/Subject_59_F_MoSh/Subject_59_F_14.pkl,12947,sit down,12947__seg00__003.106_003.949__sit_down.mp4,3.106000,3.949000,3106,3949,3.138889,3.931111,3139,3931,4,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
sit,BMLmovi/Subject_59_F_MoSh/Subject_59_F_14.pkl,12947,sit on chair,12947__seg01__003.949_005.423__sit_on_chair.mp4,3.949000,5.423000,3949,5423,3.975926,5.395926,3976,5396,19,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
sit,BMLmovi/Subject_61_F_MoSh/Subject_61_F_9.pkl,1797,sit down,01797__seg00__001.929_003.140__sit_down.mp4,1.929000,3.140000,1929,3140,2.302579,3.136706,2303,3137,5,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
sit,BMLmovi/Subject_63_F_MoSh/Subject_63_F_5.pkl,10942,sit down,10942__seg00__000.535_003.049__sit_down.mp4,0.535000,3.049000,535,3049,1.007273,2.933030,1007,2933,7,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
sit,BMLmovi/Subject_64_F_MoSh/Subject_64_F_16.pkl,5447,sit down,05447__seg00__002.261_004.451__sit_down.mp4,2.261000,4.451000,2261,4451,2.268900,4.448167,2269,4448,37,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
sit,BMLmovi/Subject_67_F_MoSh/Subject_67_F_2.pkl,2687,sit down,02687__seg00__000.934_002.704__sit_down.mp4,0.934000,2.704000,934,2704,0.963724,2.677917,964,2678,21,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
sit,BMLmovi/Subject_68_F_MoSh/Subject_68_F_21.pkl,5869,sit down,05869__seg00__000.719_004.013__sit_down.mp4,0.719000,4.013000,719,4013,1.175568,3.983449,1176,3983,11,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
sit,BMLmovi/Subject_69_F_MoSh/Subject_69_F_14.pkl,10906,sit down,10906__seg00__002.606_006.294__sit_down.mp4,2.606000,6.294000,2606,6294,3.183514,6.279704,3184,6280,59,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
sit,BMLmovi/Subject_72_F_MoSh/Subject_72_F_8.pkl,539,sit down,00539__seg00__002.046_003.844__sit_down.mp4,2.046000,3.844000,2046,3844,2.060913,3.821125,2061,3821,27,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
