skill,amass_sequence,babel_sid,label,reviewed_clip_filename,segment_start_s,segment_end_s,segment_start_ms,segment_end_ms,first_used_chunk_start_s,last_used_chunk_end_s,first_used_chunk_start_ms,last_used_chunk_end_ms,used_chunk_count,provenance
step_back,BioMotionLab_NTroje/rub015/0014_knocking2.pkl,3720,walking back,03720__step_back__seg00__009.627_011.734__walk_back.mp4,9.627000,11.734000,9627,11734,9.806136,11.730000,9806,11730,8,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,BioMotionLab_NTroje/rub027/0024_throwing_hard3.pkl,4392,step back,04392__step_back__seg00__002.480_003.480__step_back.mp4,2.480000,3.480000,2480,3480,2.690667,3.441417,2691,3441,3,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,BioMotionLab_NTroje/rub039/0030_scamper_rom.pkl,1282,stepping backwards,01282__step_back__seg00__025.865_026.842__step_backwards.mp4,25.865000,26.842000,25865,26842,26.066209,26.816287,26066,26816,3,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,BioMotionLab_NTroje/rub061/0029_jumping2.pkl,989,walk backwards,00989__step_back__seg00__003.183_004.200__walk_backwards.mp4,3.183000,4.200000,3183,4200,3.196825,4.073810,3197,4074,6,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,BioMotionLab_NTroje/rub063/0023_throwing_hard2.pkl,1891,step backwards,01891__step_back__seg00__000.804_002.239__step_backwards.mp4,0.804000,2.239000,804,2239,1.213368,1.921875,1213,1922,2,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,CMU/136/136_25.pkl,6732,walks backwards,06732__step_back__seg00__001.500_014.189__walk_backwards.mp4,1.500000,14.189000,1500,14189,1.631290,14.009785,1631,14010,193,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,CMU/35/35_27.pkl,5484,walking backward,05484__step_back__seg00__046.006_047.406__walk_backward.mp4,46.006000,47.406000,46006,47406,46.387398,47.179099,46387,47179,4,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,CMU/40/40_04.pkl,2099,walk backwards,02099__step_back__seg00__003.565_006.211__walk_backwards.mp4,3.565000,6.211000,3565,6211,5.213170,6.171774,5213,6172,5,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,CMU/40/40_04.pkl,2099,walk backwards,02099__step_back__seg01__009.669_012.794__walk_backwards.mp4,9.669000,12.794000,9669,12794,10.092697,12.719516,10093,12720,11,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,CMU/40/40_04.pkl,2099,walk backwards,02099__step_back__seg02__014.794_017.211__walk_backwards.mp4,14.794000,17.211000,14794,17211,15.180751,16.514703,15181,16515,10,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,CMU/40/40_04.pkl,2099,walk backwards,02099__step_back__seg03__023.877_026.148__walk_backwards.mp4,23.877000,26.148000,23877,26148,25.273448,26.106936,25273,26107,5,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,CMU/40/40_04.pkl,2099,walk backwards,02099__step_back__seg04__028.002_031.086__walk_backwards.mp4,28.002000,31.086000,28002,31086,28.651582,31.069874,28652,31070,6,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,CMU/40/40_04.pkl,2099,walk backwards,02099__step_back__seg05__033.273_036.148__walk_backwards.mp4,33.273000,36.148000,33273,36148,33.864752,35.949401,33865,35949,10,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,CMU/40/40_04.pkl,2099,walk backwards,02099__step_back__seg06__038.044_040.440__walk_backwards.mp4,38.044000,40.440000,38044,40440,38.660868,40.078232,38661,40078,6,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,CMU/40/40_04.pkl,2099,walk backwards,02099__step_back__seg07__043.669_046.065__walk_backwards.mp4,43.669000,46.065000,43669,46065,44.541324,45.499928,44541,45500,8,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,CMU/41/41_02.pkl,3579,walking back,03579__step_back__seg00__034.806_036.567__walk_back.mp4,34.806000,36.567000,34806,36567,34.819144,36.486601,34819,36487,21,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,CMU/41/41_05.pkl,3476,walk back,03476__step_back__seg00__004.002_006.440__walk_back.mp4,4.002000,6.440000,4002,6440,4.004258,6.422787,4004,6423,38,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,CMU/41/41_05.pkl,3476,walk back,03476__step_back__seg04__038.218_040.432__walk_back.mp4,38.218000,40.432000,38218,40432,38.791246,40.208711,38791,40209,7,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,CMU/82/82_03.pkl,6980,walk backward,06980__step_back__seg00__008.356_010.565__walk_backward.mp4,8.356000,10.565000,8356,10565,9.273444,10.065427,9273,10065,4,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,EKUT/125/WSDB4.pkl,2854,walk backwards,02854__step_back__seg00__004.860_006.240__walk_backwards.mp4,4.860000,6.240000,4860,6240,5.373600,6.090022,5374,6090,2,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,EKUT/125/WSDB5.pkl,3505,walking backwards,03505__step_back__seg00__005.752_007.634__walk_backwards.mp4,5.752000,7.634000,5752,7634,5.773745,7.336337,5774,7336,9,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,EKUT/125/WSUB5.pkl,1643,walkback,01643__step_back__seg00__003.821_006.962__walkback.mp4,3.821000,6.962000,3821,6962,3.838333,6.947576,3838,6948,31,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,Eyes_Japan_Dataset/aita/jump-11-warmup-aita.pkl,1882,step backwards,01882__step_back__seg00__006.231_007.543__step_backwards.mp4,6.231000,7.543000,6231,7543,6.467520,7.509720,6468,7510,10,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,Eyes_Japan_Dataset/aita/pose-16-handstand-aita.pkl,88,walking backwards,00088__step_back__seg00__003.720_005.460__walk_backwards.mp4,3.720000,5.460000,3720,5460,3.969295,4.719526,3969,4720,3,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,Eyes_Japan_Dataset/hamada/gesture_etc-16-dryer-hamada.pkl,2702,step backwards,02702__step_back__seg00__022.711_024.856__step_backwards.mp4,22.711000,24.856000,22711,24856,22.723949,24.849952,22724,24850,33,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,Eyes_Japan_Dataset/hamada/gesture_etc-17-drink-hamada.pkl,6435,step back,06435__step_back__seg00__024.127_026.669__step_back.mp4,24.127000,26.669000,24127,26669,24.141590,26.642851,24142,26643,25,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,Eyes_Japan_Dataset/hamada/gesture_etc-32-no-hamada.pkl,7886,step backwards,07886__step_back__seg00__021.122_022.988__step_backwards.mp4,21.122000,22.988000,21122,22988,21.806652,22.723491,21807,22723,7,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,Eyes_Japan_Dataset/hamada/gesture_etc-34-peace-hamada.pkl,6313,walk backwards,06313__step_back__seg00__021.731_023.356__walk_backwards.mp4,21.731000,23.356000,21731,23356,21.764957,23.223835,21765,23224,17,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,Eyes_Japan_Dataset/hamada/gesture_etc-41-mosh-hamada.pkl,5576,step back,05576__step_back__seg00__020.898_023.273__step_back.mp4,20.898000,23.273000,20898,23273,20.931051,23.265530,20931,23266,25,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,Eyes_Japan_Dataset/hamada/gesture_etc-44-wash hands-hamada.pkl,2891,walk backward,02891__step_back__seg00__023.065_023.815__walk_backward.mp4,23.065000,23.815000,23065,23815,23.099207,23.807569,23099,23808,2,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,Eyes_Japan_Dataset/hamada/pain-04-chest and barf-hamada.pkl,5579,walk backward,05579__step_back__seg00__021.786_023.706__walk_backward.mp4,21.786000,23.706000,21786,23706,21.806652,23.682483,21807,23682,30,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,Eyes_Japan_Dataset/ichige/soccer-27-pk inside-ichige.pkl,908,stepping backward,00908__step_back__seg00__004.773_006.565__step_backward.mp4,4.773000,6.565000,4773,6565,4.794962,6.545707,4795,6546,14,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,Eyes_Japan_Dataset/ichige/soccer-27-pk inside-ichige.pkl,908,stepping backward,00908__step_back__seg01__020.961_022.440__step_backward.mp4,20.961000,22.440000,20961,22440,20.972746,22.389928,20973,22390,5,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,Eyes_Japan_Dataset/kaiwa/accident-12-twist foot-kaiwa.pkl,5026,step back,05026__step_back__seg00__026.086_027.659__step_back.mp4,26.086000,27.659000,26086,27659,26.120436,27.204362,26120,27204,11,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,Eyes_Japan_Dataset/kaiwa/tennis-18-catch netball-kaiwa.pkl,133,walking back,00133__step_back__seg00__007.648_009.190__walk_back.mp4,7.648000,9.190000,7648,9190,7.886202,9.178758,7886,9179,4,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_back,Eyes_Japan_Dataset/kaiwa/tennis-18-catch netball-kaiwa.pkl,133,walking back,00133__step_back__seg01__012.461_013.961__walk_back.mp4,12.461000,13.961000,12461,13961,12.517781,13.935514,12518,13936,6,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
