skill,amass_sequence,babel_sid,label,reviewed_clip_filename,segment_start_s,segment_end_s,segment_start_ms,segment_end_ms,first_used_chunk_start_s,last_used_chunk_end_s,first_used_chunk_start_ms,last_used_chunk_end_ms,used_chunk_count,provenance
step_climb_down,CMU/114/114_07.pkl,9981,walk down stairs,09981__downstairs__seg00__007.944_010.990__walk_down_stairs.mp4,7.944000,10.990000,7944,10990,7.984256,10.866450,7984,10866,39,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_climb_down,CMU/114/114_08.pkl,5342,descend stairs,05342__downstairs__seg00__007.298_009.980__descend_stairs.mp4,7.298000,9.980000,7298,9980,7.306011,9.976612,7306,9977,30,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_climb_down,CMU/114/114_09.pkl,2379,walk down stairs,02379__downstairs__seg00__006.586_009.009__walk_down_stairs.mp4,6.586000,9.009000,6586,9009,6.598330,8.810175,6598,8810,14,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_climb_down,CMU/114/114_09.pkl,2379,walk down stairs,02379__downstairs__seg01__013.499_015.648__walk_down_stairs.mp4,13.499000,15.648000,13499,15648,13.530752,15.575550,13531,15576,16,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_climb_down,CMU/13/13_35.pkl,4435,walk down stairs,04435__downstairs__seg00__006.174_010.034__walk_down_stairs.mp4,6.174000,10.034000,6174,10034,6.395491,9.737396,6395,9737,48,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_climb_down,CMU/13/13_36.pkl,612,descend stairs,00612__downstairs__seg00__007.398_010.856__descend_stairs.mp4,7.398000,10.856000,7398,10856,7.528958,10.287001,7529,10287,32,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_climb_down,CMU/13/13_38.pkl,2478,step downwards,02478__downstairs__seg00__006.794_010.044__step_downwards.mp4,6.794000,10.044000,6794,10044,6.817428,9.533506,6817,9534,22,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_climb_down,CMU/141/141_08.pkl,10688,step down,10688__downstairs__seg00__002.892_004.169__step_down.mp4,2.892000,4.169000,2892,4169,2.934770,3.852989,2935,3853,4,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_climb_down,CMU/15/15_02.pkl,5017,step down,05017__downstairs__seg04__037.877_040.544__step_down.mp4,37.877000,40.544000,37877,40544,37.889541,40.306879,37890,40307,14,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
step_climb_down,CMU/15/15_02.pkl,5017,step down,05017__downstairs__seg05__046.856_050.023__step_down.mp4,46.856000,50.023000,46856,50023,47.309823,49.935574,47310,49936,41,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
