skill,amass_sequence,babel_sid,label,reviewed_clip_filename,segment_start_s,segment_end_s,segment_start_ms,segment_end_ms,first_used_chunk_start_s,last_used_chunk_end_s,first_used_chunk_start_ms,last_used_chunk_end_ms,used_chunk_count,provenance
step_climb_up,CMU/106/106_08.pkl,7833,climb up,07833__seg00__001.520_002.700__climb_up.mp4,001.520,002.700,1520,2700,1.677011,2.679080,1677,2679,5,derived_from_final_human_reviewed_chunk_manifest_and_interval_encoded_in_reviewed_clip_filename
step_climb_up,CMU/114/114_08.pkl,5342,climb stairs,05342__seg00__001.912_005.389__climb_stairs.mp4,001.912,005.389,1912,5389,1.920437,4.925027,1920,4925,50,derived_from_final_human_reviewed_chunk_manifest_and_interval_encoded_in_reviewed_clip_filename
step_climb_up,CMU/114/114_09.pkl,2379,walk up stairs,02379__seg00__003.815_006.586__walk_up_stairs.mp4,003.815,006.586,3815,6586,4.009112,6.555049,4009,6555,20,derived_from_final_human_reviewed_chunk_manifest_and_interval_encoded_in_reviewed_clip_filename
step_climb_up,CMU/114/114_09.pkl,2379,walk up stairs,02379__seg01__010.294_013.499__walk_up_stairs.mp4,010.294,013.499,10294,13499,10.565680,13.195140,10566,13195,47,derived_from_final_human_reviewed_chunk_manifest_and_interval_encoded_in_reviewed_clip_filename
step_climb_up,CMU/122/122_27.pkl,10786,walk up stairs,10786__seg00__003.900_007.000__walk_up_stairs.mp4,003.900,007.000,3900,7000,3.934074,6.818889,3934,6819,25,derived_from_final_human_reviewed_chunk_manifest_and_interval_encoded_in_reviewed_clip_filename
step_climb_up,CMU/122/122_28.pkl,1773,walk up stairs,01773__seg00__003.252_006.690__walk_up_stairs.mp4,003.252,006.690,3252,6690,3.342745,6.683608,3343,6684,37,derived_from_final_human_reviewed_chunk_manifest_and_interval_encoded_in_reviewed_clip_filename
step_climb_up,CMU/122/122_29.pkl,9242,walk up stairs,09242__seg00__004.580_006.410__walk_up_stairs.mp4,004.580,006.410,4580,6410,4.599229,6.394798,4599,6395,9,derived_from_final_human_reviewed_chunk_manifest_and_interval_encoded_in_reviewed_clip_filename
step_climb_up,CMU/122/122_31.pkl,7107,climb steps,07107__seg00__004.106_006.419__climb_steps.mp4,004.106,006.419,4106,6419,4.489804,6.415294,4490,6415,17,derived_from_final_human_reviewed_chunk_manifest_and_interval_encoded_in_reviewed_clip_filename
step_climb_up,CMU/122/122_34.pkl,8577,walk up stairs,08577__seg00__003.819_006.900__walk_up_stairs.mp4,003.819,006.900,3819,6900,3.848060,6.606064,3848,6606,16,derived_from_final_human_reviewed_chunk_manifest_and_interval_encoded_in_reviewed_clip_filename
step_climb_up,CMU/13/13_35.pkl,4435,walk up stairs,04435__seg00__000.000_004.779__walk_up_stairs.mp4,000.000,004.779,0,4779,1.421220,4.094315,1421,4094,14,derived_from_final_human_reviewed_chunk_manifest_and_interval_encoded_in_reviewed_clip_filename
step_climb_up,CMU/13/13_36.pkl,612,go upstairs,00612__seg00__001.752_005.273__go_upstairs.mp4,001.752,005.273,1752,5273,2.133205,4.974903,2133,4975,15,derived_from_final_human_reviewed_chunk_manifest_and_interval_encoded_in_reviewed_clip_filename
step_climb_up,CMU/13/13_37.pkl,6339,ascend,06339__seg00__001.981_007.481__ascend.mp4,001.981,007.481,1981,7481,2.466440,6.393823,2466,6394,32,derived_from_final_human_reviewed_chunk_manifest_and_interval_encoded_in_reviewed_clip_filename
step_climb_up,CMU/13/13_38.pkl,2478,step upwards,02478__seg00__001.211_004.481__step_upwards.mp4,001.211,004.481,1211,4481,2.342184,3.887170,2342,3887,8,derived_from_final_human_reviewed_chunk_manifest_and_interval_encoded_in_reviewed_clip_filename
