skill,amass_sequence,babel_sid,label,reviewed_clip_filename,segment_start_s,segment_end_s,segment_start_ms,segment_end_ms,first_used_chunk_start_s,last_used_chunk_end_s,first_used_chunk_start_ms,last_used_chunk_end_ms,used_chunk_count,provenance
stop,BMLmovi/Subject_27_F_MoSh/Subject_27_F_13.pkl,2907,stand in place,02907__seg00__002.713_004.034__stand_in_place.mp4,2.713000,4.034000,2713,4034,3.363333,4.030000,3363,4030,1,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
stop,BMLmovi/Subject_46_F_MoSh/Subject_46_F_1.pkl,2003,stand still,02003__seg01__002.021_002.734__stand_still.mp4,2.021000,2.734000,2021,2734,2.063333,2.730000,2063,2730,1,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
stop,BMLmovi/Subject_54_F_MoSh/Subject_54_F_13.pkl,2301,stand in place,02301__seg00__000.000_000.694__stand_in_place.mp4,0.000000,0.694000,0,694,0.000000,0.666667,0,667,1,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
stop,BMLmovi/Subject_74_F_MoSh/Subject_74_F_19.pkl,2202,stand in place,02202__seg02__003.955_004.767__stand_in_place.mp4,3.955000,4.767000,3955,4767,3.976426,4.727697,3976,4728,3,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
stop,BMLmovi/Subject_79_F_MoSh/Subject_79_F_9.pkl,4063,stand in place,04063__seg02__003.279_004.134__stand_in_place.mp4,3.279000,4.134000,3279,4134,3.294390,4.130000,3294,4130,5,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
stop,BioMotionLab_NTroje/rub002/0017_catching_and_throwing.pkl,10903,stand still,10903__seg00__000.000_002.444__stand_still.mp4,0.000000,2.444000,0,2444,0.000000,2.426506,0,2427,43,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
stop,BioMotionLab_NTroje/rub002/0017_catching_and_throwing.pkl,10903,stand still,10903__seg02__008.001_008.808__stand_still.mp4,8.001000,8.808000,8001,8808,8.003079,8.795448,8003,8795,4,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
stop,BioMotionLab_NTroje/rub017/0013_knocking1.pkl,10507,stand still,10507__seg00__004.532_006.168__stand_still.mp4,4.532000,6.168000,4532,6168,4.564489,6.152429,4564,6152,23,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
stop,BioMotionLab_NTroje/rub017/0021_catching_and_throwing.pkl,10356,stand still,10356__seg00__000.000_004.248__stand_still.mp4,0.000000,4.248000,0,4248,0.000000,4.213196,0,4213,86,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
stop,BioMotionLab_NTroje/rub017/0021_catching_and_throwing.pkl,10356,stand still,10356__seg01__006.231_006.958__stand_still.mp4,6.231000,6.958000,6231,6958,6.258581,6.925248,6259,6925,1,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
