skill,amass_sequence,babel_sid,label,reviewed_clip_filename,segment_start_s,segment_end_s,segment_start_ms,segment_end_ms,first_used_chunk_start_s,last_used_chunk_end_s,first_used_chunk_start_ms,last_used_chunk_end_ms,used_chunk_count,provenance
turn,BMLmovi/Subject_17_F_MoSh/Subject_17_F_9.pkl,4533,turning,04533__seg02__004.299_005.070__turning.mp4,4.299000,5.070000,4299,5070,4.315271,5.065729,4315,5066,3,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
turn,BMLmovi/Subject_21_F_MoSh/Subject_21_F_3.pkl,6148,turning left,06148__seg00__000.000_001.084__turning_left.mp4,0.000000,1.084000,0,1084,0.000000,1.044528,0,1045,10,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
turn,BMLmovi/Subject_25_F_MoSh/Subject_25_F_18.pkl,6447,turning back,06447__seg02__005.056_005.841__turning_back.mp4,5.056000,5.841000,5056,5841,5.067461,5.817888,5067,5818,3,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
turn,BMLmovi/Subject_30_F_MoSh/Subject_30_F_14.pkl,4719,turning,04719__seg00__002.002_003.065__turning.mp4,2.002000,3.065000,2002,3065,2.008000,3.051167,2008,3051,10,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
turn,BMLmovi/Subject_30_F_MoSh/Subject_30_F_14.pkl,4719,turning around,04719__seg02__007.023_007.836__turning_around.mp4,7.023000,7.836000,7023,7836,7.028000,7.820167,7028,7820,4,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
turn,BMLmovi/Subject_40_F_MoSh/Subject_40_F_18.pkl,4420,turn left,04420__seg00__005.342_007.077__turn_left.mp4,5.342000,7.077000,5342,7077,5.369462,7.042903,5369,7043,25,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
turn,BMLmovi/Subject_54_F_MoSh/Subject_54_F_4.pkl,2296,turn around left,02296__seg02__005.963_006.924__turn_around_left.mp4,5.963000,6.924000,5963,6924,5.998056,6.916389,5998,6916,7,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
turn,BMLmovi/Subject_54_F_MoSh/Subject_54_F_4.pkl,2296,turn around right,02296__seg01__002.155_003.155__turn_around_right.mp4,2.155000,3.155000,2155,3155,2.181111,3.141389,2181,3141,8,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
turn,BMLmovi/Subject_57_F_MoSh/Subject_57_F_14.pkl,6810,turn back,06810__seg00__001.086_001.983__turn_back.mp4,1.086000,1.983000,1086,1983,1.090333,1.966679,1090,1967,6,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
turn,BMLmovi/Subject_58_F_MoSh/Subject_58_F_4.pkl,3960,turn around,03960__seg00__000.315_001.606__turn_around.mp4,0.315000,1.606000,315,1606,0.335632,1.589655,336,1590,15,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
turn,BMLmovi/Subject_64_F_MoSh/Subject_64_F_9.pkl,1796,turn around,01796__seg01__003.685_005.863__turn_around.mp4,3.685000,5.863000,3685,5863,3.724963,5.814649,3725,5815,35,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
turn,BMLmovi/Subject_68_F_MoSh/Subject_68_F_16.pkl,4856,turn left,04856__seg01__002.586_003.627__turn_left.mp4,2.586000,3.627000,2586,3627,2.595521,3.597094,2596,3597,9,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
turn,BMLmovi/Subject_68_F_MoSh/Subject_68_F_16.pkl,4856,turn right,04856__seg02__005.940_006.836__turn_right.mp4,5.940000,6.836000,5940,6836,5.944581,6.820564,5945,6821,6,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
turn,BMLmovi/Subject_73_F_MoSh/Subject_73_F_7.pkl,3175,turn around,03175__seg00__001.764_002.633__turn_around.mp4,1.764000,2.633000,1764,2633,1.797933,2.631849,1798,2632,5,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
turn,BMLmovi/Subject_73_F_MoSh/Subject_73_F_7.pkl,3175,turn around,03175__seg01__010.383_011.357__turn_around.mp4,10.383000,11.357000,10383,11357,10.411284,11.328825,10411,11329,7,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
turn,BMLmovi/Subject_74_F_MoSh/Subject_74_F_10.pkl,1775,turning,01775__seg01__003.112_003.945__turning.mp4,3.112000,3.945000,3112,3945,3.143665,3.936078,3144,3936,4,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
turn,BMLmovi/Subject_74_F_MoSh/Subject_74_F_10.pkl,1775,turning,01775__seg02__006.820_007.529__turning.mp4,6.820000,7.529000,6820,7529,6.832232,7.498899,6832,7499,1,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
turn,BMLmovi/Subject_82_F_MoSh/Subject_82_F_12.pkl,5701,turning back,05701__seg01__002.514_003.616__turning_back.mp4,2.514000,3.616000,2514,3616,2.553152,3.596513,2553,3597,10,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
turn,BMLmovi/Subject_82_F_MoSh/Subject_82_F_12.pkl,5701,turning back,05701__seg02__006.914_008.526__turning_back.mp4,6.914000,8.526000,6914,8526,6.947922,8.493543,6948,8494,22,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
turn,BMLmovi/Subject_85_F_MoSh/Subject_85_F_14.pkl,5689,turn left,05689__seg03__009.044_009.794__turn_left.mp4,9.044000,9.794000,9044,9794,9.050602,9.759170,9051,9759,2,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
turn,BMLmovi/Subject_85_F_MoSh/Subject_85_F_14.pkl,5689,turning back,05689__seg01__002.919_003.981__turning_back.mp4,2.919000,3.981000,2919,3981,2.933066,3.976841,2933,3977,10,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
turn,BMLmovi/Subject_85_F_MoSh/Subject_85_F_14.pkl,5689,turning back,05689__seg02__006.336_007.294__turning_back.mp4,6.336000,7.294000,6336,7294,6.368942,7.287015,6369,7287,7,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
turn,BMLmovi/Subject_85_F_MoSh/Subject_85_F_17.pkl,6359,turning,06359__seg00__000.508_002.570__turning.mp4,0.508000,2.570000,508,2570,0.544223,2.550515,544,2551,28,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
