skill,amass_sequence,babel_sid,label,reviewed_clip_filename,segment_start_s,segment_end_s,segment_start_ms,segment_end_ms,first_used_chunk_start_s,last_used_chunk_end_s,first_used_chunk_start_ms,last_used_chunk_end_ms,used_chunk_count,provenance
walk_forward,ACCAD/Female1Walking_c3d/B9 - walk turn left (90).pkl,5210,walk forward,05210__seg00__000.148_003.273__walk_forward.mp4,0.148000,3.273000,148,3273,0.167100,3.256710,167,3257,59,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
walk_forward,ACCAD/Male2MartialArtsExtended_c3d/Extended 2.pkl,8242,walk forward,08242__seg00__016.273_017.734__walk_forward.mp4,16.273000,17.734000,16273,17734,16.312380,17.730000,16312,17730,19,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
walk_forward,ACCAD/Male2Running_c3d/C4 - run to walk.pkl,12084,walk forward,12084__seg00__001.028_003.867__walk_forward.mp4,1.028000,3.867000,1028,3867,1.053728,3.827851,1054,3828,51,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
walk_forward,ACCAD/Male2Walking_c3d/B21 -  put down box to walk.pkl,820,walk forward,00820__seg00__003.106_005.567__walk_forward.mp4,3.106000,5.567000,3106,5567,3.143162,5.528091,3143,5528,42,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
walk_forward,ACCAD/Male2Walking_c3d/B9 -  Walk turn left 90.pkl,5061,walk forward,05061__seg00__000.298_002.340__walk_forward.mp4,0.298000,2.340000,298,2340,0.335641,2.302917,336,2303,32,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
walk_forward,BMLmovi/Subject_29_F_MoSh/Subject_29_F_1.pkl,8530,walk forward,08530__seg00__003.711_006.377__walk_forward.mp4,3.711000,6.377000,3711,6377,3.735106,6.374244,3735,6374,48,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
walk_forward,BMLmovi/Subject_44_F_MoSh/Subject_44_F_3.pkl,8325,walk forward,08325__seg00__009.502_010.940__walk_forward.mp4,9.502000,10.940000,9502,10940,9.537309,10.915091,9537,10915,18,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
walk_forward,BMLmovi/Subject_52_F_MoSh/Subject_52_F_12.pkl,1268,walk forward,01268__seg00__005.502_006.461__walk_forward.mp4,5.502000,6.461000,5502,6461,5.543457,6.420103,5543,6420,6,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
walk_forward,BioMotionLab_NTroje/rub001/0020_knocking1.pkl,8064,walk forward,08064__seg01__005.564_007.367__walk_forward.mp4,5.564000,7.367000,5564,7367,5.572146,7.328104,5572,7328,27,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
walk_forward,BioMotionLab_NTroje/rub004/0009_knocking2.pkl,1837,walk forward,01837__seg00__000.000_001.231__walk_forward.mp4,0.000000,1.231000,0,1231,0.000000,1.213043,0,1213,14,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
walk_forward,BioMotionLab_NTroje/rub005/0000_treadmill_norm.pkl,8166,walk forward,08166__seg00__000.000_014.200__walk_forward.mp4,0.000000,14.200000,0,14200,0.000000,14.200000,0,14200,325,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
walk_forward,BioMotionLab_NTroje/rub005/0008_knocking1.pkl,12297,walk forward,12297__seg00__000.000_001.639__walk_forward.mp4,0.000000,1.639000,0,1639,0.000000,1.630948,0,1631,24,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
walk_forward,BioMotionLab_NTroje/rub005/0010_sitting1.pkl,233,walk forward,00233__seg00__000.000_001.044__walk_forward.mp4,0.000000,1.044000,0,1044,0.000000,1.003279,0,1003,9,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
walk_forward,BioMotionLab_NTroje/rub005/0010_sitting1.pkl,233,walk forward,00233__seg01__004.690_005.800__walk_forward.mp4,4.690000,5.800000,4690,5800,4.712568,5.800000,4713,5800,11,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
walk_forward,BioMotionLab_NTroje/rub007/0009_knocking2.pkl,5232,walk forward,05232__seg00__000.000_001.940__walk_forward.mp4,0.000000,1.940000,0,1940,0.000000,1.923062,0,1923,31,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
walk_forward,BioMotionLab_NTroje/rub007/0009_knocking2.pkl,5232,walk forward,05232__seg01__006.065_007.867__walk_forward.mp4,6.065000,7.867000,6065,7867,6.072578,7.828120,6073,7828,27,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
walk_forward,BioMotionLab_NTroje/rub007/0015_lifting_heavy2.pkl,12155,walk forward,12155__seg01__005.856_007.367__walk_forward.mp4,5.856000,7.367000,5856,7367,5.865417,7.328104,5865,7328,20,derived_join_of_final_training_membership_and_human_reviewed_babel_segment
