episode_name,scene_id,episode_id,object_category,changed_20260719_first_pass,changed_20260720_refined_1cm,changed_20260806_v2,final_value_revision
hc_find_nav_interact_102343992_ep0,102343992,0,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_102343992_ep1,102343992,1,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_102343992_ep2,102343992,2,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_102343992_ep3,102343992,3,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_102343992_ep4,102343992,4,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_102343992_ep5,102343992,5,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_102343992_ep6,102343992,6,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_102343992_ep7,102343992,7,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_102343992_ep8,102343992,8,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_102343992_ep9,102343992,9,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_102343992_ep10,102343992,10,chair,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_102343992_ep11,102343992,11,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_102343992_ep13,102343992,13,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_102343992_ep14,102343992,14,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_102343992_ep15,102343992,15,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_102343992_ep17,102343992,17,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_102343992_ep18,102343992,18,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_102343992_ep19,102343992,19,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_102343992_ep20,102343992,20,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_102343992_ep25,102343992,25,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_102343992_ep27,102343992,27,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_102343992_ep28,102343992,28,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_102343992_ep29,102343992,29,couch,yes,yes,no,20260720-refined-1cm
